-BEGIN HEADER-
NASA/POWER Source Native Resolution Monthly and Annual 
Dates (month/day/year): 01/01/2020 through 12/31/2021 in LST
Location: Regional 
Elevation from MERRA-2: Average for 0.5 x 0.625 degree lat/lon region = na meters
The value for missing source data that cannot be computed or is outside of the sources availability range: -999 
Parameter(s): 
ALLSKY_SFC_SW_DWN     CERES SYN1deg All Sky Surface Shortwave Downward Irradiance (W m-2) 
-END HEADER-
PARAMETER,YEAR,LAT,LON,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANN
ALLSKY_SFC_SW_DWN,2020,11.5,74.5,221.67,239.35,266.94,262.76,218.36,145.43,157.67,196.01,185.08,215.34,208.08,199.17,209.66
ALLSKY_SFC_SW_DWN,2020,11.5,75.5,238.22,258.06,278.02,266.23,231.55,165.28,168.0,183.37,182.18,218.37,214.46,207.87,217.63
ALLSKY_SFC_SW_DWN,2020,11.5,76.5,233.83,257.68,260.01,260.2,232.04,191.5,175.91,183.16,171.94,199.47,188.72,183.15,211.47
ALLSKY_SFC_SW_DWN,2020,11.5,77.5,225.94,250.94,264.05,267.97,252.14,223.53,207.52,208.79,193.62,209.5,180.71,169.11,221.15
ALLSKY_SFC_SW_DWN,2020,11.5,78.5,220.85,246.93,269.24,267.51,250.89,229.5,216.23,213.16,198.97,206.29,173.34,156.38,220.77
ALLSKY_SFC_SW_DWN,2020,12.5,74.5,226.37,248.3,276.88,276.27,239.87,160.81,169.96,175.03,178.09,203.36,211.64,205.32,214.33
ALLSKY_SFC_SW_DWN,2020,12.5,75.5,232.72,253.97,274.02,268.58,238.41,169.59,154.97,153.45,162.33,188.53,206.98,205.89,209.12
ALLSKY_SFC_SW_DWN,2020,12.5,76.5,231.54,254.59,268.26,271.53,255.23,209.96,190.87,183.73,183.91,198.33,190.87,185.29,218.68
ALLSKY_SFC_SW_DWN,2020,12.5,77.5,229.72,257.53,269.82,274.52,261.16,226.3,204.86,193.09,186.42,197.12,182.48,181.85,222.07
ALLSKY_SFC_SW_DWN,2020,12.5,78.5,220.25,251.74,272.54,272.79,258.66,228.71,216.46,202.23,193.71,196.38,173.83,169.77,221.42
ALLSKY_SFC_SW_DWN,2020,13.5,74.5,232.02,253.98,282.27,282.36,249.13,170.19,155.81,163.12,178.38,192.58,217.84,211.18,215.74
ALLSKY_SFC_SW_DWN,2020,13.5,75.5,230.9,255.15,278.29,272.11,248.63,183.22,165.02,147.85,167.16,183.05,207.6,204.91,211.99
ALLSKY_SFC_SW_DWN,2020,13.5,76.5,226.51,255.15,277.39,277.68,261.26,219.24,199.47,183.05,189.94,198.01,193.43,187.25,222.36
ALLSKY_SFC_SW_DWN,2020,13.5,77.5,225.69,258.45,278.19,278.64,266.55,222.46,207.99,194.15,195.05,197.03,185.78,186.05,224.67
